model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,tunisia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00304698,0.00609396,0.00914094,0.01218792,0.0152349,0.01828188,0.0213288599999999,0.02437584,0.02742282,0.0304698,0.03351678,0.03656376,0.03961074,0.04265772,0.0457047,0.04875168,0.0504700165034857,0.0520305623827474,0.0534146196273542,0.0546012849228824,0.0555671921612905,0.0562862255434486,0.0567292000807161,0.0568635059979782,0.0568635059979782,0.0568635059979782,0.0568635059979782,0.0568635059979782,0.0568635059979782,0.0568635059979782
PD22,baseline,tunisia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,tunisia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0009526,0.0011343,0.0010046,0.0011136,0.0005076,0.0004486,0.0013492,0.000864,0.001026,0.0010584,0.0007754,0.0006037,0.0003224,0.0010007,0.001118,0.0010384,0.000904,0.0008305,0.0005779,0.0008489,0.0004692,0.000834,0.0008143,0.0007209,0.0007807,0.0007047,0.000549,0.000729,0.0006685,0.0006944,0.0007108272727272,0.0007272545454545,0.0007436818181818,0.000760109090909,0.0007765363636363,0.0007929636363636,0.0008093909090909,0.0008258181818181,0.0008422454545454,0.0008586727272727,0.0008751,0.000869835,0.0008645699999999,0.000859305,0.00085404,0.000848775,0.00084351,0.000838245,0.00083298,0.000827715,0.00082245,0.000817185,0.00081192,0.000806655,0.00080139,0.000796125,0.00079086,0.000785595,0.00078033,0.000775065,0.0007698
PD22,baseline,tunisia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,2.47e-05,2.94e-05,2.6e-05,2.89e-05,1.32e-05,1.16e-05,3.5000000000000004e-05,2.24e-05,2.66e-05,2.74e-05,2.01e-05,1.57e-05,8.4e-06,2.59e-05,2.9000000000000004e-05,2.69e-05,2.34e-05,2.15e-05,1.5e-05,2.2e-05,1.2200000000000002e-05,2.1600000000000003e-05,2.11e-05,1.87e-05,2.02e-05,1.83e-05,1.42e-05,1.89e-05,1.73e-05,1.8e-05,1.8427272727272726e-05,1.8854545454545456e-05,1.9281818181818185e-05,1.970909090909091e-05,2.013636363636364e-05,2.0563636363636366e-05,2.099090909090909e-05,2.141818181818182e-05,2.1845454545454548e-05,2.227272727272728e-05,2.2700000000000003e-05,2.2565e-05,2.2430000000000004e-05,2.2295000000000003e-05,2.216e-05,2.2025000000000003e-05,2.189e-05,2.1755e-05,2.1620000000000003e-05,2.1485e-05,2.1350000000000004e-05,2.1215000000000003e-05,2.108e-05,2.0945000000000004e-05,2.081e-05,2.0675e-05,2.0540000000000003e-05,2.0405e-05,2.027e-05,2.0135000000000003e-05,2e-05
PD22,baseline,tunisia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0004849999999999,0.0007024,0.000608,0.0005611,0.0002179,0.0001939,0.0008097,0.0003274,0.0004873,0.0005352,0.000348,0.0003795,0.000163,0.0006509,0.0006242,0.0006011,0.0004812,0.0005568,0.0003452,0.0006805,0.0003042,0.0006365,0.0006273,0.0003967,0.0006289,0.0004018,0.0003662,0.0004742,0.0004345,0.0006464999999999,0.0006457818181818,0.0006450636363636,0.0006443454545454,0.0006436272727272,0.000642909090909,0.0006421909090909,0.0006414727272727,0.0006407545454545,0.0006400363636363,0.0006393181818181,0.0006385999999999,0.000642515,0.0006464299999999,0.0006503449999999,0.0006542599999999,0.000658175,0.0006620899999999,0.0006660049999999,0.00066992,0.000673835,0.00067775,0.0006816649999999,0.00068558,0.000689495,0.00069341,0.0006973249999999,0.00070124,0.000705155,0.00070907,0.000712985,0.0007169
PD22,baseline,tunisia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9.892000000000016e-05,0.0001978399999999,0.00029676,0.0003956799999999,0.0004946,0.00059352,0.00069244,0.00079136,0.00089028,0.0009892,0.00108812,0.00118704,0.00128596,0.00138488,0.0014838,0.00158272,0.00168164,0.00178056,0.00183002,0.0018761826666666,0.001919048,0.001958616,0.0019948866666666,0.00202786,0.0020443466666666,0.0020443466666666,0.0020443466666666,0.0020443466666666,0.0020443466666666,0.0020443466666666
PD22,baseline,tunisia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0743383,0.0788025,0.0776469,0.0825867,0.0785536,0.0779824,0.0839256,0.080761,0.0829926,0.0851387,0.0887109,0.0888186,0.088665,0.0846356,0.0851745,0.0879381,0.0904657,0.091696,0.0877870999999999,0.0891948,0.0876636,0.0861425,0.0825888,0.08245,0.0832255,0.0819956,0.0799461,0.0797510999999999,0.080946,0.0796521,0.0823245818181818,0.0849970636363636,0.0876695454545454,0.0903420272727272,0.0930145090909091,0.0956869909090909,0.0983594727272727,0.1010319545454545,0.1037044363636363,0.1063769181818181,0.1090494,0.109513575,0.10997775,0.110441925,0.1109061,0.111370275,0.11183445,0.112298625,0.1127628,0.113226975,0.1136911499999999,0.114155325,0.1146195,0.115083675,0.11554785,0.1160120249999999,0.1164761999999999,0.1169403749999999,0.11740455,0.117868725,0.1183328999999999
PD22,baseline,tunisia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,tunisia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0033879,0.0034447,0.0034329,0.0036167,0.0033154,0.0032979,0.0035577,0.0035457,0.0037937,0.0039469,0.0041501,0.004203,0.0041922,0.0040636,0.0041977,0.0042748,0.0042501,0.004443,0.0044124,0.0044055,0.0045753,0.0044443,0.0045543,0.0046894,0.004721,0.0047179,0.0047032,0.0046952,0.0047546,0.0047484,0.0048452818181818,0.0049421636363636,0.0050390454545454,0.0051359272727272,0.005232809090909,0.0053296909090909,0.0054265727272727,0.0055234545454545,0.0056203363636363,0.0057172181818181,0.0058141,0.00586481,0.00591552,0.00596623,0.00601694,0.00606765,0.00611836,0.00616907,0.00621978,0.00627049,0.0063212,0.00637191,0.00642262,0.00647333,0.00652404,0.00657475,0.00662546,0.00667617,0.00672688,0.00677759,0.0068283
PD22,baseline,tunisia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,6.73e-05,7.09e-05,6.93e-05,7.48e-05,6.96e-05,6.97e-05,7.560000000000001e-05,7.87e-05,8.53e-05,9.06e-05,9.74e-05,9.98e-05,9.93e-05,9.54e-05,0.0001009,0.0001035,0.0001009,0.0001101,0.0001086,0.0001111999999999,0.0001194,0.0001142,0.0001218,0.0001253,0.0001279,0.0001293,0.0001306,0.0001298,0.000132,0.0001337,0.0001353181818181,0.0001369363636363,0.0001385545454545,0.0001401727272727,0.0001417909090909,0.000143409090909,0.0001450272727272,0.0001466454545454,0.0001482636363636,0.0001498818181818,0.0001515,0.00015317,0.00015484,0.00015651,0.00015818,0.00015985,0.00016152,0.00016319,0.00016486,0.00016653,0.0001682,0.00016987,0.00017154,0.00017321,0.00017488,0.00017655,0.00017822,0.00017989,0.00018156,0.00018323,0.0001849
