scenario,sector,product_category,product_long,flow_category,flow_long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
pathway,Agriculture,Emissions,Agroforestry,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406785453828334,1.5670619334692724,2.768914804452095,4.236001798524093,5.958087555878066,9.21002069774126,13.938729731605331,20.091143164961903,27.614189505302647,36.45479726011916,46.54760225145888,57.8399427429949,71.14898240431668,86.36656243242334,103.41191034033994,121.42239454887309,142.1152231633801,165.3766217125404,191.09281572503303,216.2584810272963,240.856228138084,270.71599903070216,305.62549317542,340.2726067568601,374.6150326881466,408.6104638824031,444.8578594495542,483.2268700961638,519.6501659071232,554.1286294437735,586.6631441796609,617.2759495495386,645.978164408283,672.7809076252066,697.6952980872387,720.7324547028054,741.9463325392687,761.390886696005,779.1200723114584,795.1878445717488,809.6481587211752,822.5545603188544,833.9605950105434,843.9488027279278,852.6008401021684,859.9983639218802,866.196969198082,871.3113151303573
pathway,Agriculture,Emissions,Biochar,Emissions,CO2e,0.0,0.0086437972012786,0.02564326503046,0.0420664797128895,0.057913441248567,0.0731841496374927,0.0878786048796664,0.1019968069750883,0.1199936360198018,0.1417205960106056,0.1670291909442983,0.1957709248176782,0.2277973016275441,0.2651806163439461,0.3076983465979075,0.355127970020452,0.407246964242603,0.4638328068953839,0.5503815968210076,0.6658135242767914,0.8090487795200519,0.9790075528081068,1.1746100343982733,1.3945303987813704,1.637697036740265,1.9199159071828853,2.2395528152879307,2.5949735662340983,2.968896475907515,3.39567066457111,3.873001462643072,4.398594200541593,4.912573221174805,5.414860952003725,6.022115409871761,6.730070105134695,7.432395250425514,8.128226466024088,8.816699372210294,9.549958229690407,10.325525149933393,11.06213072975322,11.759923447777476,12.41905180088987,13.039738312533904,13.622205506389816,14.16667590642675,14.673372036966414,15.14251642276075,15.575188876460434,15.97246921135685,16.335437241523266,16.665172781987078,16.96275564894005,17.229257459469288,17.465749832395886,17.67386697426108,17.85524309418834,18.011512404452276,18.14378753819648,18.25436319099417
pathway,Agriculture,Emissions,Burning - Crop residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Crop Residues,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Cropland Soil Health,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Enteric Fermentation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029522662974077,0.0061333444903191,0.0095626823435033,0.0132611780342593,0.0172511234960861,0.0215561052222899,0.0262008712385526,0.0312111859630377,0.0366137117611753,0.0424359761187993,0.048706504374369,0.0554552169998583,0.0627142048869533,0.0705190053122564,0.0789105086273949,0.0879376408538732,0.0976610079459838,0.1081577815614736,0.1195282972897384,0.1319051972051959,0.1454666160582984,0.160456170024581,0.1772150072609069,0.1962365121979807,0.2182666982607752,0.2445057974241358,0.2770646496875457,0.320193080236713,0.3846492490804465,0.5149718563563219
pathway,Agriculture,Emissions,Fertilized Soils,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003317454377664,0.0006892024119575,0.0010745562631169,0.0014901553142883,0.0019385045045561,0.0024222542423733,0.002944185457298,0.0035071932906636,0.0041142737859165,0.0047685201998697,0.0054731379177894,0.0062314890957535,0.0070471797793685,0.0079242032836663,0.0088671544474028,0.0098815310755806,0.0109741434443799,0.012153663314002,0.0134313653699498,0.014822154569505,0.0163460478707659,0.0180304203634629,0.019913606782081,0.0220510486137572,0.024526575203583,0.0274750563233896,0.0311336865447844,0.0359800176786926,0.0432229415194707,0.0578672608478361
pathway,Agriculture,Emissions,Improved Rice,Emissions,CO2e,0.0,3.844347211858434e-05,0.0001140489672851,0.0001870915643104,0.0002575712631944,0.0003254880639372,0.0003908419665388,0.0004536329709991,0.0005336742514101,0.0006303053686353,0.0007428658835384,0.0008706953569829,0.0010131333498325,0.0011793964380951,0.0013684949487961,0.001579439208961,0.0018112395456153,0.0020629062857844,0.0024478338719974,0.0029612198274296,0.0035982616752564,0.004354156938653,0.005224103140795,0.0062022036444972,0.007283692444947,0.0085388668809685,0.0099604588362944,0.0115412001946576,0.0132042302979557,0.0151023175900075,0.017225256478984,0.0195628413730562,0.0218487740122819,0.024082709391142,0.0267834865237294,0.0299321301064982,0.0330557361458872,0.0361504602946846,0.0392124582056785,0.0424736425887494,0.0459229929818899,0.0491990619838337,0.0523025099564386,0.0552339973427572,0.0579945138205431,0.0605850490686025,0.0630065927670268,0.0652601345974754,0.0673466642435211,0.069270984194922,0.0710378969442856,0.0726522049876969,0.0741187108254844,0.0754422169631553,0.0766274894405241,0.0776792943051172,0.0786048997253266,0.0794115738810286,0.0801065849661144,0.0806948814401831,0.0811866690106612
pathway,Agriculture,Emissions,Manure Management,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Manure Management,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010753213840537,0.0022339842757412,0.0034830722492458,0.0048301971710706,0.006283478563767,0.0078515074750527,0.0095432980244352,0.0113682345380574,0.0133360284067007,0.0154567061290551,0.017740657657562,0.0201987811023869,0.0228427651184741,0.0256855536578992,0.0287420404548566,0.0320300461230216,0.0355716455269554,0.0393949473551877,0.0435364974318384,0.0480446087628099,0.0529841644199864,0.0584438981613235,0.0645480683941794,0.0714763834427518,0.0795005681813716,0.089057790188562,0.1009168931799955,0.1166258160745599,0.140103067009786,0.1875712396988298
pathway,Agriculture,Emissions,Manure applied to Soils,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Manure left on Pasture,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Nitrogen Fertilizer Management,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Optimal Intensity,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Other Agricultural,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Rice Cultivation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Agriculture,Emissions,Rice Cultivation,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001369325740913,0.0002844779448201,0.0004435381420921,0.0006150824691217,0.0008001448745865,0.0009998193516833,0.001215253768022,0.0014476431337215,0.0016982241076612,0.001968273474898,0.0022591143030783,0.0025721343691956,0.0029088221190609,0.0032708258493625,0.0036600421441277,0.0040787402993447,0.0045297313518543,0.0050165946920905,0.0055439841043476,0.0061180518184228,0.0067470601140212,0.0074423084426985,0.0082196200028249,0.0091018790444331,0.0101236873033754,0.0113407141662399,0.0128508650133369,0.0148512560406636,0.0178408742616161,0.0238855220944489
pathway,Agriculture,Emissions,Synthetic Fertilizers,Emissions,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pathway,Commercial,Coal,Coking coal,Final consumption,CO2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
